graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n20_d12.5_adj_matrix,greedy,0,1948.65,2.000047393999921,33,3,188644,0,time_limit
graph_n20_d12.5_adj_matrix,greedy,1,1948.65,2.0000257859992416,24,2,178511,0,time_limit
graph_n20_d12.5_adj_matrix,greedy,2,1948.65,2.0000166079989867,27,1,181120,0,time_limit
graph_n20_d12.5_adj_matrix,local,0,1948.65,2.0010951420008496,27,1,765,0,time_limit
graph_n20_d12.5_adj_matrix,local,1,1948.65,2.0014957950006647,15,2,751,0,time_limit
graph_n20_d12.5_adj_matrix,local,2,1948.65,2.0024218639991886,17,2,747,0,time_limit
graph_n16_d50_adj_matrix,random,0,2759.84,0.008228164000684046,400,4,0,0,max_candidates
graph_n16_d50_adj_matrix,random,1,2513.86,2.000039264001316,184,4,130235,0,time_limit
graph_n16_d50_adj_matrix,random,2,2766.97,0.008090086999800405,400,10,2,0,max_candidates
graph_n16_d50_adj_matrix,greedy,0,2924.71,2.000060886999563,396,3,112621,0,time_limit
graph_n16_d50_adj_matrix,greedy,1,2924.71,2.000043187999836,328,1,95002,0,time_limit
graph_n16_d50_adj_matrix,greedy,2,2924.71,0.05388884400053939,400,4,2302,0,max_candidates
graph_n16_d50_adj_matrix,local,0,2924.71,2.002162288999898,256,4,520,0,time_limit
graph_n16_d50_adj_matrix,local,1,2924.71,2.0004215319986542,239,3,440,0,time_limit
graph_n16_d50_adj_matrix,local,2,2924.71,2.000277698998616,244,6,517,0,time_limit
graph_n12_d75_adj_matrix,random,0,1797.71,2.0000357379994966,171,5,150692,0,time_limit
graph_n12_d75_adj_matrix,random,1,1882.49,0.006843907000074978,400,9,2,0,max_candidates
graph_n12_d75_adj_matrix,random,2,1987.69,0.007372117999693728,400,5,15,0,max_candidates
graph_n12_d75_adj_matrix,greedy,0,2005.75,2.0000390610002796,129,6,126457,0,time_limit
graph_n12_d75_adj_matrix,greedy,1,1852.75,2.000030092000088,47,2,137144,0,time_limit
graph_n12_d75_adj_matrix,greedy,2,2005.75,2.0000313889995596,48,3,113635,0,time_limit
graph_n12_d75_adj_matrix,local,0,2005.75,2.0022347169997374,188,1,602,0,time_limit
graph_n12_d75_adj_matrix,local,1,1993.92,2.0001132520010287,59,3,901,0,time_limit
graph_n12_d75_adj_matrix,local,2,2005.75,2.0018989289983438,50,4,987,0,time_limit
graph_n6_d50_adj_matrix,random,0,940.58,2.0000400680000894,10,3,340984,0,time_limit
graph_n6_d50_adj_matrix,random,1,980.03,2.000026556999728,8,1,319903,0,time_limit
graph_n6_d50_adj_matrix,random,2,980.03,2.000020728999516,8,1,323196,0,time_limit
graph_n6_d50_adj_matrix,greedy,0,940.58,2.0000137140013976,1,1,334842,0,time_limit
graph_n6_d50_adj_matrix,greedy,1,940.58,2.0000131240012706,1,1,329187,0,time_limit
graph_n6_d50_adj_matrix,greedy,2,940.58,2.0000177020010597,1,1,354336,0,time_limit
graph_n6_d50_adj_matrix,local,0,980.03,2.000125366001157,1,1,1292,0,time_limit
graph_n6_d50_adj_matrix,local,1,980.03,2.0000749090013414,1,1,1295,0,time_limit
graph_n6_d50_adj_matrix,local,2,980.03,2.0007294320002984,1,1,1311,0,time_limit
graph_n11_d75_adj_matrix,random,0,1707.69,0.006893845000377041,400,9,44,0,max_candidates
graph_n11_d75_adj_matrix,random,1,1694.94,0.0077382990002661245,400,8,15,0,max_candidates
graph_n11_d75_adj_matrix,random,2,1484.71,2.0000326610006596,162,2,167353,0,time_limit
graph_n11_d75_adj_matrix,greedy,0,1732.1200000000001,2.0000354229996447,132,5,127024,0,time_limit
graph_n11_d75_adj_matrix,greedy,1,1732.1200000000001,2.000033923999581,123,6,129553,0,time_limit
graph_n11_d75_adj_matrix,greedy,2,1732.1200000000001,2.0000378730001103,88,4,121411,0,time_limit
graph_n11_d75_adj_matrix,local,0,1732.1200000000001,2.000888648999535,47,2,788,0,time_limit
graph_n11_d75_adj_matrix,local,1,1732.1200000000001,2.001106312000047,41,4,778,0,time_limit
